"id_hogar","id_viajes","miembro","anio","trimestre","region_origen","aglomerado_origen","region_destino","provincia_destino","localidad_destino","cod_loc_2001","codigo_2001","codigo_2010","cod_prov_2010","cod_depto_2010","cod_loc_2010","pondera","tipo_visitante","cantidad_destinos","multidestino","px06","px06_agrup","px07","px07_agrup","px08","px08_agrup","px09","px10_1","px11","px12_1","px12_2","px12_3","px12_4","px12_5","px12_6","px12_7","px12_8","px13","px14","px15_1","px15_2","px15_3","px15_4","pxb16_1_1","pxb16_1_2","pxb16_1_3","pxb16_1_4","pxb16_1_5","pxb16_1_6","pxb16_1_7","pxb16_1_9","pxb16_2","px17_1","px17_2_1","px17_2_2","px17_2_3","px17_2_4","px17_2_5","px17_2_6","px17_2_7","px17_2_8","px17_2_9","px17_2_10","px17_2_11","px17_2_12","px17_2_13","px18_1","px18_2","px18_3","px18_4","px18_5","px18_6","px18_7","gasto_pc","quintil_pcf_visitante","p002","p004","p005","p006","p006_agrup","p007","nivel_ed","cond_act","p013","j_sexo","j_edad","j_nivel_ed","j_cond_act"
272266,91101,2,2020,1,6,25,6,46,"Villa Sanagasta",92,"46126010","46126010","46","126","010",4289,2,1,1,3,2,0,,0,0,1,1,,,,,,,,,,,2,10,10,10,10,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,166.666666666667,2,5,3,1,27,2,1,6,1,1,1,4,3,3
272266,91101,3,2020,1,6,25,6,46,"Villa Sanagasta",92,"46126010","46126010","46","126","010",4289,2,1,1,3,2,0,,0,0,1,1,,,,,,,,,,,2,10,10,10,10,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,166.666666666667,2,5,3,1,30,3,2,5,1,1,1,4,3,3
272269,91101,1,2020,1,5,14,5,30,"Concepción del Uruguay",153,"30098040","30098040","30","098","040",278,2,1,1,3,2,0,,0,0,2,1,,,,,,,,,,,2,10,10,10,10,,,,,,,,,,1,2,2,1,2,2,2,2,2,2,2,2,2,2,,,,,,,,666.666666666667,2,5,1,1,64,5,2,5,3,2,1,4,3,3
272269,91101,2,2020,1,5,14,5,30,"Concepción del Uruguay",153,"30098040","30098040","30","098","040",278,2,1,1,3,2,0,,0,0,2,1,,,,,,,,,,,2,10,10,10,10,,,,,,,,,,1,2,2,1,2,2,2,2,2,2,2,2,2,2,,,,,,,,666.666666666667,2,5,3,2,40,3,2,5,1,2,1,4,3,3
272269,91101,3,2020,1,5,14,5,30,"Concepción del Uruguay",153,"30098040","30098040","30","098","040",278,2,1,1,3,2,0,,0,0,2,1,,,,,,,,,,,2,10,10,10,10,,,,,,,,,,1,2,2,1,2,2,2,2,2,2,2,2,2,2,,,,,,,,666.666666666667,2,5,3,2,35,3,1,8,3,2,1,4,3,3
272279,91101,1,2020,1,6,23,6,66,"El Carril",34,"66042020","66042020","66","042","020",73,2,1,1,4,2,0,,0,0,1,1,,,,,,,,,,,2,10,10,10,10,,,,,,,,,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,200,2,4,1,1,35,3,2,5,1,2,1,2,3,1
272279,91101,2,2020,1,6,23,6,66,"El Carril",34,"66042020","66042020","66","042","020",73,2,1,1,4,2,0,,0,0,1,1,,,,,,,,,,,2,10,10,10,10,,,,,,,,,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,200,2,4,2,2,37,3,2,5,1,2,1,2,3,1
272279,91101,3,2020,1,6,23,6,66,"El Carril",34,"66042020","66042020","66","042","020",73,2,1,1,4,2,0,,0,0,1,1,,,,,,,,,,,2,10,10,10,10,,,,,,,,,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,200,2,4,8,2,67,5,2,9,3,2,1,2,3,1
272279,91101,4,2020,1,6,23,6,66,"El Carril",34,"66042020","66042020","66","042","020",73,2,1,1,4,2,0,,0,0,1,1,,,,,,,,,,,2,10,10,10,10,,,,,,,,,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,200,2,4,8,1,64,5,2,7,3,2,1,2,3,1
272281,61101,1,2020,1,6,18,6,86,"999",999,,,,,,763,1,1,1,1,1,18,4,3,2,2,1,2,10,10,10,10,10,10,10,10,99,9,10,10,10,10,1,1,1,1,1,2,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,10,100,10,10,10,10,10,20000,3,1,1,1,70,5,2,9,3,2,1,4,4,3
